system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.3008,0.2666,0.3344,10
emb:all-MiniLM-L6-v2+logreg,2,0.3996,0.3642,0.4288,10
emb:all-MiniLM-L6-v2+logreg,3,0.4310,0.4060,0.4568,10
emb:all-MiniLM-L6-v2+logreg,5,0.4864,0.4574,0.5150,10
emb:all-MiniLM-L6-v2+logreg,10,0.5738,0.5460,0.5998,10
emb:all-MiniLM-L6-v2+logreg,20,0.6486,0.6286,0.6704,10
emb:all-MiniLM-L6-v2+logreg,50,0.7028,0.6856,0.7192,10
hv_evolved_logreg,1,0.3836,0.3328,0.4326,10
hv_evolved_logreg,2,0.5888,0.5584,0.6188,10
hv_evolved_logreg,3,0.6644,0.6280,0.6936,10
hv_evolved_logreg,5,0.7400,0.7034,0.7704,10
hv_evolved_logreg,10,0.8102,0.7750,0.8410,10
hv_evolved_logreg,20,0.8506,0.8134,0.8760,10
hv_evolved_logreg,50,0.8928,0.8814,0.9042,10
hv_evolved_prior_fixed,1,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,2,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,3,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,5,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,10,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,20,0.5440,0.5440,0.5440,10
hv_evolved_prior_fixed,50,0.5440,0.5440,0.5440,10
hv_evolved_rf,1,0.4492,0.3898,0.5030,10
hv_evolved_rf,2,0.6240,0.5660,0.6780,10
hv_evolved_rf,3,0.7028,0.6434,0.7596,10
hv_evolved_rf,5,0.7836,0.7542,0.8080,10
hv_evolved_rf,10,0.8336,0.8080,0.8570,10
hv_evolved_rf,20,0.8732,0.8600,0.8858,10
hv_evolved_rf,50,0.8942,0.8834,0.9050,10
hv_expert_logreg,1,0.3644,0.3240,0.4080,10
hv_expert_logreg,2,0.5172,0.4788,0.5540,10
hv_expert_logreg,3,0.5470,0.5126,0.5794,10
hv_expert_logreg,5,0.6044,0.5698,0.6396,10
hv_expert_logreg,10,0.7124,0.6832,0.7384,10
hv_expert_logreg,20,0.7250,0.6836,0.7672,10
hv_expert_logreg,50,0.7462,0.7338,0.7564,10
hv_expert_rf,1,0.4736,0.4264,0.5360,10
hv_expert_rf,2,0.5966,0.5554,0.6482,10
hv_expert_rf,3,0.6418,0.5782,0.7096,10
hv_expert_rf,5,0.6820,0.6354,0.7356,10
hv_expert_rf,10,0.7530,0.7072,0.7964,10
hv_expert_rf,20,0.8022,0.7768,0.8278,10
hv_expert_rf,50,0.8490,0.8290,0.8658,10
hv_prior_fixed,1,0.5940,0.5940,0.5940,10
hv_prior_fixed,2,0.5940,0.5940,0.5940,10
hv_prior_fixed,3,0.5940,0.5940,0.5940,10
hv_prior_fixed,5,0.5940,0.5940,0.5940,10
hv_prior_fixed,10,0.5940,0.5940,0.5940,10
hv_prior_fixed,20,0.5940,0.5940,0.5940,10
hv_prior_fixed,50,0.5940,0.5940,0.5940,10
hv_prior_reweight,1,0.5564,0.5210,0.5956,10
hv_prior_reweight,2,0.6286,0.6146,0.6440,10
hv_prior_reweight,3,0.6424,0.6280,0.6594,10
hv_prior_reweight,5,0.6600,0.6420,0.6868,10
hv_prior_reweight,10,0.6798,0.6620,0.6980,10
hv_prior_reweight,20,0.6788,0.6652,0.6908,10
hv_prior_reweight,50,0.6862,0.6794,0.6916,10
hv_static_logreg,1,0.3500,0.2902,0.4058,10
hv_static_logreg,2,0.4858,0.4460,0.5242,10
hv_static_logreg,3,0.5762,0.5300,0.6220,10
hv_static_logreg,5,0.6284,0.5866,0.6736,10
hv_static_logreg,10,0.7732,0.7276,0.8126,10
hv_static_logreg,20,0.8370,0.8006,0.8736,10
hv_static_logreg,50,0.8902,0.8658,0.9112,10
hv_static_prior_fixed,1,0.4840,0.4840,0.4840,10
hv_static_prior_fixed,2,0.4840,0.4840,0.4840,10
hv_static_prior_fixed,3,0.4840,0.4840,0.4840,10
hv_static_prior_fixed,5,0.4840,0.4840,0.4840,10
hv_static_prior_fixed,10,0.4840,0.4840,0.4840,10
hv_static_prior_fixed,20,0.4840,0.4840,0.4840,10
hv_static_prior_fixed,50,0.4840,0.4840,0.4840,10
hv_static_rf,1,0.4816,0.4330,0.5372,10
hv_static_rf,2,0.6284,0.5848,0.6718,10
hv_static_rf,3,0.6916,0.6304,0.7478,10
hv_static_rf,5,0.7256,0.6786,0.7700,10
hv_static_rf,10,0.7880,0.7368,0.8294,10
hv_static_rf,20,0.8564,0.8440,0.8698,10
hv_static_rf,50,0.8864,0.8792,0.8936,10
tfidf_char+logreg,1,0.2774,0.2318,0.3206,10
tfidf_char+logreg,2,0.3512,0.2880,0.4126,10
tfidf_char+logreg,3,0.3724,0.3184,0.4266,10
tfidf_char+logreg,5,0.4102,0.3544,0.4672,10
tfidf_char+logreg,10,0.4578,0.4146,0.5028,10
tfidf_char+logreg,20,0.5402,0.5022,0.5766,10
tfidf_char+logreg,50,0.6274,0.5992,0.6518,10
tfidf_word+char+logreg,1,0.3070,0.2514,0.3568,10
tfidf_word+char+logreg,2,0.3738,0.2908,0.4520,10
tfidf_word+char+logreg,3,0.4020,0.3346,0.4654,10
tfidf_word+char+logreg,5,0.4260,0.3612,0.4918,10
tfidf_word+char+logreg,10,0.4858,0.4270,0.5462,10
tfidf_word+char+logreg,20,0.5718,0.5112,0.6266,10
tfidf_word+char+logreg,50,0.6342,0.5864,0.6748,10
tfidf_word+logreg,1,0.3150,0.2554,0.3680,10
tfidf_word+logreg,2,0.3620,0.2820,0.4370,10
tfidf_word+logreg,3,0.3742,0.2992,0.4464,10
tfidf_word+logreg,5,0.4136,0.3434,0.4832,10
tfidf_word+logreg,10,0.4746,0.4128,0.5368,10
tfidf_word+logreg,20,0.5416,0.4710,0.6042,10
tfidf_word+logreg,50,0.5600,0.5018,0.6196,10
zeroshot_nli,1,0.4280,0.4280,0.4280,10
zeroshot_nli,2,0.4280,0.4280,0.4280,10
zeroshot_nli,3,0.4280,0.4280,0.4280,10
zeroshot_nli,5,0.4280,0.4280,0.4280,10
zeroshot_nli,10,0.4280,0.4280,0.4280,10
zeroshot_nli,20,0.4280,0.4280,0.4280,10
zeroshot_nli,50,0.4280,0.4280,0.4280,10
